cluster,keyword_he,search_intent,difficulty,article_title_he,landing_page_url,commercial_potential
"Tax Refunds for Employees","החזר מס שכירים 2026","Commercial","Medium","החזר מס לשכירים 2026 – מה חדש השנה","/בלוג/החזר-מס-שכירים-2026",8
"Retirement Tax Refunds","החזר מס פנסיה","Commercial","Medium","החזר מס לפנסיונרים – הכסף שמגיע לכם","/החזרי-מס/פנסיה",9
"Retirement Tax Refunds","החזר מס פנסיונרים","Commercial","Medium","החזר מס לגמלאים ופנסיונרים – מדריך מלא","/החזרי-מס/פנסיה",9
"Retirement Tax Refunds","החזר מס פרישה","Commercial","Medium","החזר מס בעת פרישה מהעבודה","/בלוג/החזר-מס-פרישה",8
"Retirement Tax Refunds","החזר מס משיכת פיצויים","Commercial","Medium","החזר מס על משיכת פיצויים – איך תובעים","/בלוג/החזר-מס-משיכת-פיצויים",8
"Retirement Tax Refunds","החזר מס משיכת קרן פנסיה","Commercial","Medium","החזר מס על משיכת קרן פנסיה","/בלוג/החזר-מס-משיכת-פנסיה",8
"Retirement Tax Refunds","מס על קצבת פנסיה","Informational","Medium","איך ממוסה קצבת פנסיה ומתי מגיע החזר","/בלוג/מס-על-קצבת-פנסיה",7
"Retirement Tax Refunds","פטור ממס לפנסיה","Informational","Hard","פטור ממס על קצבת פנסיה – נוסחת הקיזוז","/בלוג/פטור-מס-פנסיה",7
"Retirement Tax Refunds","קיבוע זכויות","Commercial","Hard","קיבוע זכויות בפרישה – למה זה קריטי להחזר","/בלוג/קיבוע-זכויות",8
"Retirement Tax Refunds","טופס 161","Informational","Medium","טופס 161 בפרישה – הסבר מלא","/בלוג/טופס-161",6
"Retirement Tax Refunds","החזר מס היוון קצבה","Informational","Medium","מיסוי היוון קצבת פנסיה והחזר מס","/בלוג/היוון-קצבה",6
"Retirement Tax Refunds","מס על מענק פרישה","Informational","Medium","מיסוי מענק פרישה ופיצויי פיטורים","/בלוג/מס-מענק-פרישה",6
"Retirement Tax Refunds","החזר מס קצבת זקנה","Informational","Medium","מס והחזר מס על קצבת זקנה מביטוח לאומי","/בלוג/מס-קצבת-זקנה",6
"Retirement Tax Refunds","החזר מס גיל פרישה","Informational","Medium","הטבות מס בגיל פרישה – מה מגיע","/בלוג/הטבות-מס-גיל-פרישה",7
"Retirement Tax Refunds","החזר מס פנסיה מוקדמת","Informational","Medium","מיסוי פנסיה מוקדמת והחזר מס","/בלוג/פנסיה-מוקדמת-מס",6
"Retirement Tax Refunds","החזר מס קרן השתלמות","Commercial","Medium","החזר מס על משיכת קרן השתלמות","/בלוג/החזר-מס-קרן-השתלמות",7
"Retirement Tax Refunds","החזר מס קופת גמל","Commercial","Medium","החזר מס על משיכת קופת גמל","/בלוג/החזר-מס-קופת-גמל",7
"Retirement Tax Refunds","מס על פיצויי פיטורים","Informational","Medium","מיסוי פיצויי פיטורים – מתי מגיע החזר","/בלוג/מס-פיצויי-פיטורים",7
"Retirement Tax Refunds","החזר מס פורש צה""ל","Commercial","Medium","החזר מס לפורשי צבא קבע","/בלוג/החזר-מס-פורש-צבא",7
"Retirement Tax Refunds","החזר מס אלמן אלמנה","Commercial","Medium","החזר מס לאלמן/ה ומקבלי קצבת שאירים","/בלוג/החזר-מס-אלמנה",7
"Retirement Tax Refunds","מס על קצבת שאירים","Informational","Medium","מיסוי קצבת שאירים – מה כדאי לבדוק","/בלוג/מס-קצבת-שאירים",6
"Retirement Tax Refunds","החזר מס פנסיונר עובד","Informational","Medium","החזר מס לפנסיונר שממשיך לעבוד","/בלוג/החזר-מס-פנסיונר-עובד",7
"Retirement Tax Refunds","החזר מס פרישה מוקדמת","Informational","Medium","החזר מס בפרישה מוקדמת מהעבודה","/בלוג/החזר-מס-פרישה-מוקדמת",6
"Retirement Tax Refunds","בדיקת החזר מס לפנסיונרים","Transactional","Medium","בדיקת זכאות להחזר מס לפנסיונרים – חינם","/בדיקת-זכאות",9
"Retirement Tax Refunds","החזר מס פנסיה 6 שנים","Commercial","Medium","החזר מס לפנסיונרים עד 6 שנים אחורה","/בלוג/החזר-מס-פנסיה-6-שנים",8
"Retirement Tax Refunds","ייעוץ מס פרישה","Commercial","Hard","ייעוץ מס לפרישה – למה לא לפרוש בלי בדיקה","/בלוג/ייעוץ-מס-פרישה",8
